YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1901,18.8,0.6,7.7,36.6,30.4,107.7,215.9,194.1,83.7,68.7,4.4,0.5
1902,7.8,0,0.1,5,9.8,102.6,210.9,114.5,169.5,60.4,40.5,62.9
1903,7.6,0,0,3.2,77.2,86.3,281.8,155.5,142.3,74.2,7.6,2.2
1904,0.4,4.7,1.7,3,18.7,114.6,126.5,59.5,183,91.1,0,0.4
1905,0,1.2,0,2.3,23.6,65,252.8,79,52.6,52.9,8.3,0
1906,10.5,0.8,0,0.1,9.3,184.8,199.3,205,88.8,19.1,15.5,11.1
1907,0.5,3.7,1.5,54.5,0.6,118,262.3,267.8,94.1,7.6,3.6,0.9
1908,0.3,0,4.7,6.3,5.8,85.1,263,169.9,166.6,16.3,4,0
1909,1.2,0.1,0.7,1.4,38.5,179.6,247,101.6,146.2,31.1,3.1,4.7
1910,0,0,1,0,13.1,204.6,172,228.6,195.7,70,30.2,0
1911,2,0.1,2.2,0.2,12,136.9,137.7,153.2,29.9,23.6,42.9,3.8
1912,0,0.4,0,9,20.9,88.3,307.6,150,34.7,86,67.7,0.3
1913,0,0.2,0,8.4,34,259.9,210.8,86.6,82.8,43.7,0.6,5.5
1914,0,0.4,0.3,3.7,15.2,188.3,348.8,204.3,211.6,22.1,36.6,7.6
1915,8.6,6.6,13.9,21.9,12.1,195.2,225.4,80,228.5,76.8,20.9,18
1916,0,0.2,0.4,4.9,55.2,144.8,257.6,185.9,217.5,136.8,69.1,0.1
1917,0.1,20,4.8,7.7,15.6,174.3,120.6,187,205.2,169.5,33.4,0
1918,5.1,0.6,2.6,1,90.5,51.7,68.4,112.4,55.1,13.3,30,7.5
1919,3,0.5,1.2,2.7,38.2,173.5,198.9,153.8,231.7,45.1,28.4,1.9
1920,41.5,0.2,0.1,9.7,8,120.7,185.9,94.1,113.8,26,0.3,0
1921,1.6,0,0.3,9,1.1,105.8,291.6,125,128.7,47.5,23.7,0
1922,18.3,2.6,0,16.7,27.4,161.7,218.2,79.4,97.1,41.2,141.1,1.4
1923,1.9,1.7,32.7,8.7,10.5,30.7,290,126.5,169.5,6.4,0,2.3
1924,2.1,0,2.8,19.7,4.6,80.3,173.8,220.6,185.8,49.7,3.6,5.3
1925,0,0,3.1,1.5,38.9,177.7,152,115.2,94.7,33.9,40.7,4
1926,34.3,0.6,0.1,0.2,11.2,85.9,230.6,258,147.7,8.1,8.3,2.2
1927,0,1,0.9,4.6,9.3,184.9,318.7,85.4,183.6,51.3,83.3,2
1928,0.1,10.3,3.7,8,0.3,143.3,217.7,159.6,209,62.5,3.1,14.1
1929,1,6.4,2,37.1,6.4,155.9,168.2,73.7,151.6,82.5,3.4,2.2
1930,0,0,0.7,3.2,29.8,178.1,233.7,106.5,247,87.4,37.7,5
1931,0,0,0.6,14,2.9,109.7,316.3,233.5,178.9,180.9,70.2,25.3
1932,0,0.5,8.6,22.3,27.3,67.3,351.7,221.3,162.8,148.4,30.8,4
1933,1.4,0.5,3.4,8.5,76.5,182.3,194.7,259.4,286.1,93.3,24,22.3
1934,3.7,0,1.9,7.3,8,138.2,217,222.3,136.8,41.2,82,0
1935,2.5,0,0,3.7,1.4,149.6,208.6,195.5,126.7,119.4,7.7,3.9
1936,1.3,6.2,4.3,3.8,21.1,169.2,113.9,106.3,161.5,17.2,130.4,0.3
1937,0,2,2,47.7,4.7,146.7,319.4,63.6,219.9,96.1,1.3,11
1938,0.6,1,23.5,12.2,50.4,239.9,286.6,169.4,191.5,141.3,7.6,2.3
1939,0.2,0.2,4.1,6.3,1.1,127.6,303.9,219.9,88.5,41.8,27.3,0.8
1940,1.3,1.8,0.5,16.5,15.8,191.3,215.9,188.7,132,95.2,30.1,4.2
1941,28.2,8,1.8,5.4,4.2,96.1,338.6,103.7,143.3,44.5,0.1,0.4
1942,0.2,2.5,0.2,6.7,10,213.3,364.7,191.6,93.8,20,1.3,36.9
1943,4.1,0,1.5,3.5,63.4,150.5,316.4,80.9,166.2,196,10.6,0
1944,0.8,0.7,10.3,0.1,21.4,132.2,421.7,227.8,142.1,115.3,13.6,0
1945,4.2,0,0,9.8,5.2,125.6,263.7,209,132.4,37.1,6.3,0
1946,0,2.9,0,22,34.3,138.4,288.5,255.9,170.3,23.1,152.8,15.4
1947,18.7,1.4,4.4,31,19.6,63,230.6,272.8,216.2,23,10.3,14.6
1948,16.9,0.7,4.3,7.6,8.9,191,239.6,181.4,162,66.6,137.1,0.1
1949,0,0,2,4.8,58.4,102,201.3,174,323.1,82.2,5.7,0
1950,0,0.2,1.5,5.9,23.2,59.5,400.2,102.9,248.8,87.3,2.2,0.8
1951,0.1,0,0.5,9.3,29.5,150.1,250.2,136.3,71.7,128.9,20.1,0
1952,0,1.9,0,8.9,18.9,131.2,268.8,139.1,57.1,56.7,0,0.8
1953,1.2,0,0.1,24.5,2,186.3,216.5,220.2,126.8,116.1,0,0
1954,2,0.4,16,6,15.8,158.5,305.3,171.7,263,30.1,0,16.2
1955,3.2,0,6.8,12.2,25.8,140.9,149.6,254.3,218.9,159,10.4,0
1956,1.5,0.2,1.1,11.3,91.2,111,360.5,252,165.8,148,90.1,1.1
1957,0.1,0,4.8,20.9,36.9,177.8,196.4,202.2,98.7,85.1,26.8,0.1
1958,1.6,0,5.4,23.6,32.9,101.9,393.3,296.6,112.1,57.4,29.2,0.1
1959,2.4,0,0,16.8,39.3,174.7,344.3,199,202.7,84.7,54.9,0.1
1960,3.6,0,3,5.1,61.3,146.4,235,138,229,44.9,18.8,0.8
1961,0.3,0.1,0.5,9.8,104.2,163.5,411.9,135,104.8,128,10,2.5
1962,0.2,0.1,6.7,12.9,57.2,46.8,287.5,164,199.9,51.9,23,48.8
1963,0.8,4.3,14,12,23.3,138.6,252.3,268.7,72.7,93.5,19.1,0.6
1964,0,0,4.1,6.2,7,139.8,238.9,242.3,223.1,60,23.3,0.9
1965,5.8,0.2,0.3,10.2,12.3,82.9,380.7,200.3,54.8,10,4.6,28.5
1966,1.9,0.5,1.4,2.1,81.5,83.8,315,94,149,14.5,82.6,11.2
1967,0,0.1,4.7,13.3,7.8,130.4,367.4,139,146.7,43.1,2.1,58.6
1968,1.6,3.6,9.4,11.2,2.5,95.4,238.9,213.3,172.1,60.6,15.1,0.3
1969,0.2,0,1.4,5.8,4,140.1,307.1,248.3,234,20.1,22.3,0.9
1970,1,0,0.6,17.9,39.1,195.4,200.1,254.9,161.3,70.9,0,0
1971,0,0,0.1,3.8,43.3,155.6,124.9,204,185.6,56,0,0
1972,0,0.2,0,4,13.8,90.4,195.1,99.3,88.1,7.3,21.6,0.1
1973,0,3,1.8,3.2,10.1,124.7,312,243.9,172.8,104.8,3.9,0.4
1974,0,0.1,2.5,14.6,60.9,77.5,217.9,184.7,201.5,152,0.1,0
1975,0.4,1.1,0.1,1,15.4,165.6,228,223.2,242.8,158.3,4.8,0
1976,0.1,0,6,3.4,3.3,283.6,315.6,240.8,87.7,14.3,68.9,2.2
1977,0,0.1,7.1,9.9,31.3,209,262.5,150.4,94.6,64.4,112.1,5.7
1978,0.7,10.8,4.6,22.2,33.1,174.2,179.6,211.8,124.1,57,63.5,2.1
1979,3.5,1.8,5.3,1,7.1,129.7,194.5,299,249.9,46,88.4,0.5
1980,0,0,1.5,16.1,8.6,279.2,197.4,286.6,89.2,14.7,29.8,16.4
1981,10.5,0,3.7,6.8,7.7,135.9,248.9,188.6,253.7,56.8,11,6.2
1982,2.1,0.2,0.2,6.3,33.8,114.6,187.7,186.6,119.5,55.2,45.8,0
1983,0.1,1.4,0,0,2.8,125.3,218.1,259.4,263,43.2,2.5,2.8
1984,0.6,11.2,3.7,4.6,0.6,109.6,260.8,140,133.2,109.1,4.7,1.7
1985,2.6,0.2,2.3,9.1,12.3,118.7,189.5,145.1,63.5,107.3,5.4,0
1986,1.6,2.7,0.3,2.4,8.6,200.8,126.1,157.9,101,8.9,19.4,14.6
1987,1.7,3.9,2.5,4,36.6,130.3,166.7,226.9,63.5,98.8,38,34.6
1988,0,0.1,0.1,18.8,7.6,111,314.1,165.7,324.8,27.5,1.9,4.9
1989,0,0,16.3,3.3,11.8,153.5,271.9,152.1,181.6,22.9,1.4,1.7
1990,2.6,0.2,0,0.2,78.2,150.5,227.3,294.6,94.9,154.9,17.2,1.9
1991,0,0.1,0.3,12.2,19.2,293.8,318.1,143.9,67.3,21,4.7,0.1
1992,0,0,0,2.1,5.1,146.9,190.6,248.6,132.1,55.6,10.1,0
1993,0,0.1,3,5.7,11.5,147.6,289.2,162.4,162.6,192.8,10.7,34.3
1994,3.1,0.1,0.6,21.8,23.8,253.2,332.9,188.4,118.9,66.2,12.6,0
1995,20,0.2,5.4,6.7,24,63.6,253.1,82.7,194.3,121.5,4.9,0
1996,0.1,0,0.1,4.1,5.7,162.3,281,184.1,161.4,171.3,4.8,0.4
1997,3.3,0,2.4,15.3,6.5,180.2,239.9,295.5,91.7,57.7,68.8,39.6
1998,0.2,0,0.6,2.5,18.4,147.1,264.1,226.4,257.2,162.5,22.1,0
1999,0,6.7,0,0.1,39.2,225.3,262.5,85.4,169,177.6,0,0
2000,0.4,1.1,0.2,1.7,18.5,173,198.7,159.6,87,56.5,2.7,2.1
2001,4.4,0,0.3,4.7,8.4,157.9,179.3,160.9,137.3,125.5,5.7,0.5
2002,1.7,3.1,1,13,14.4,251.9,95.6,221.5,95.8,36.3,5.9,0
2003,0.8,2.2,1.5,5.7,15.1,210.8,208.7,178.4,116.2,29.5,3.5,0.1
2004,0.1,0.1,0,4.7,49,215.9,174.2,354.1,181.2,42.1,8,0.1
2005,3.6,0.4,1.6,11.1,7.8,240.5,361.2,256.1,276.4,62.7,0,0
2006,0,0,7.1,0.2,42.3,205.3,416.4,421.7,217,60.1,25.5,0
2007,1.3,0.4,0,2.1,5.5,266.9,293.5,274.2,189.2,3.4,3.9,0
2008,0,0,18.1,0.6,1.1,107.9,157.9,257.6,312.4,56.6,3.7,0.9
2009,0,1.7,0.8,0.4,7.7,68.9,329.8,148.2,162.6,96.2,121.3,4.3
2010,2.9,0.1,0.9,2.3,5.4,185.6,280.9,233.2,165.6,77.1,73.4,0.2
2011,0,0.3,0.3,5,2.9,133.3,261.4,238.1,148.4,62.8,0,0
2012,0,0,0,3,1.4,67.9,203,187.8,129.5,95.2,2.2,0
2013,0.1,5.3,0.8,5.7,6,212.4,311.8,147,210.3,57.8,4,1.3
2014,3.1,6.2,24.4,7.5,29.8,44,277.9,240.3,120.4,38.5,32.8,13.1
2015,1.4,0.8,41.2,9.6,24.4,177,111.7,67.2,146.6,48.3,16.2,0.1
